9DRJS;TP2YN;2;WVPD4;3000.000000
XBCUI;TP2YN;1;JFG0P;1300.000000
4JL0K;5AYQ3;2;LL715;3300.000000
U61CP;5AYQ3;3;CZHFC;1200.000000
1G2IT;EQCUH;2;CEMOO;2500.000000
0NONA;EQCUH;1;OOW3L;7500.000000
L8VBM;EQCUH;2;CEMOO;2500.000000
H0GAG;N2QGO;1;CEMOO;2500.000000
OA7U2;A1TF7;1;WVPD4;3000.000000
SSIXU;80UG5;2;CEMOO;2500.000000
QTW66;80UG5;1;LL715;3300.000000
BRFPH;PVN1Y;10;CEMOO;2500.000000
E96B3;PVN1Y;5;CEMOO;2500.000000
45V1J;PVN1Y;2;LL715;3300.000000
JEN1O;ZJ6LM;1;CEMOO;2500.000000
XQMY6;A7HUT;5;WVPD4;3000.000000
27B89;DCHNW;1;WVPD4;3000.000000
NKMIO;57ZHV;3;CEMOO;2500.000000
G0310;57ZHV;1;CEMOO;2500.000000
PVU8J;57ZHV;2;CZHFC;1200.000000
373NI;9YI3M;1;WVPD4;3000.000000
YMZDV;9YI3M;1;CZHFC;1200.000000
3EPI5;9YI3M;2;CEMOO;2500.000000
WDE6C;X5JCB;2;TD83N;30000.000000
GLM4F;X5JCB;3;CEMOO;2500.000000
